Symbol,Date,Close
COH,3-Jan-12,62.2
COH,4-Jan-12,61.97
COH,5-Jan-12,61.4
COH,6-Jan-12,60.3
COH,9-Jan-12,59.94
COH,10-Jan-12,59.31
COH,11-Jan-12,58.75
COH,12-Jan-12,58.03
COH,13-Jan-12,57.61
COH,16-Jan-12,58.05
COH,17-Jan-12,59
COH,18-Jan-12,59.44
COH,19-Jan-12,60.7
COH,20-Jan-12,60.3
COH,23-Jan-12,59.84
COH,24-Jan-12,60.86
COH,25-Jan-12,60.26
COH,27-Jan-12,60.23
COH,30-Jan-12,60.4
COH,31-Jan-12,59.4
COH,1/02/2012,58.9
COH,2/02/2012,58.41
COH,3/02/2012,58
COH,6/02/2012,58.11
COH,7/02/2012,62.52
COH,8/02/2012,62.52
COH,9/02/2012,62.6
COH,10/02/2012,61.64
COH,13-Feb-12,60.96
COH,14-Feb-12,60.55
COH,15-Feb-12,61
COH,16-Feb-12,60.44
COH,17-Feb-12,59.5
COH,20-Feb-12,61.3
COH,21-Feb-12,62.91
COH,22-Feb-12,60.2
COH,23-Feb-12,60.4
COH,24-Feb-12,60.44
COH,27-Feb-12,60.11
COH,28-Feb-12,60.23
COH,29-Feb-12,61.13
COH,1/03/2012,59.46
COH,2/03/2012,58.53
COH,5/03/2012,58.71
COH,6/03/2012,58.17
COH,7/03/2012,57.38
COH,8/03/2012,57.1
COH,9/03/2012,57.7
COH,12/03/2012,56.63
COH,13-Mar-12,56.85
COH,14-Mar-12,58.59
COH,15-Mar-12,58.06
COH,16-Mar-12,57.25
COH,19-Mar-12,57.95
COH,20-Mar-12,56.97
COH,21-Mar-12,57.7
COH,22-Mar-12,57.23
COH,23-Mar-12,57.6
COH,26-Mar-12,57.27
COH,27-Mar-12,59.46
COH,28-Mar-12,59.37
COH,29-Mar-12,60.74
COH,30-Mar-12,61.9
COH,2/04/2012,60.74
COH,3/04/2012,61.55
COH,4/04/2012,62.55
COH,5/04/2012,62.42
COH,10/04/2012,61.41
COH,11/04/2012,60.7
COH,12/04/2012,61.65
COH,13-Apr-12,61.74
COH,16-Apr-12,62.02
COH,17-Apr-12,61.68
COH,18-Apr-12,61.99
COH,19-Apr-12,62.5
COH,20-Apr-12,62.54
COH,23-Apr-12,62.9
COH,24-Apr-12,63.65
COH,26-Apr-12,63.45
COH,27-Apr-12,64.35
COH,30-Apr-12,65.65
COH,1/05/2012,64.83
COH,2/05/2012,65.9
COH,3/05/2012,65.16
COH,4/05/2012,64.99
COH,7/05/2012,63.31
COH,8/05/2012,64.14
COH,9/05/2012,64.6
COH,10/05/2012,65.63
COH,11/05/2012,65.96
COH,14-May-12,66.06
COH,15-May-12,66.66
COH,16-May-12,66.26
COH,17-May-12,65.44
COH,18-May-12,63.77
COH,21-May-12,62.13
COH,22-May-12,62.25
COH,23-May-12,61.71
COH,24-May-12,61.77
COH,25-May-12,61.86
COH,28-May-12,61.3
COH,29-May-12,62.93
COH,30-May-12,62
COH,31-May-12,62.72
COH,1/06/2012,63.64
COH,4/06/2012,62.15
COH,5/06/2012,63.62
COH,6/06/2012,64.9
COH,7/06/2012,66.45
COH,8/06/2012,65.16
COH,12/06/2012,64.64
COH,13-Jun-12,64.1
COH,14-Jun-12,62.91
COH,15-Jun-12,62.69
COH,18-Jun-12,63.79
COH,19-Jun-12,65.42
COH,20-Jun-12,64.67
COH,21-Jun-12,64.1
COH,22-Jun-12,63.72
COH,25-Jun-12,63.97
COH,26-Jun-12,63.38
COH,27-Jun-12,64.07
COH,28-Jun-12,64.48
COH,29-Jun-12,65.84
COH,2/07/2012,65.44
COH,3/07/2012,65
COH,4/07/2012,65.06
COH,5/07/2012,65.99
COH,6/07/2012,64.85
COH,9/07/2012,64.92
COH,10/07/2012,64.73
COH,11/07/2012,64.74
COH,12/07/2012,64.08
COH,13-Jul-12,64.55
COH,16-Jul-12,63.52
COH,17-Jul-12,63.7
COH,18-Jul-12,64.65
COH,19-Jul-12,65.26
COH,20-Jul-12,65.52
COH,23-Jul-12,65.76
COH,24-Jul-12,64.56
COH,25-Jul-12,64.24
COH,26-Jul-12,63.83
COH,27-Jul-12,65.29
COH,30-Jul-12,66.42
COH,31-Jul-12,65.94
COH,1/08/2012,65.68
COH,2/08/2012,64.7
COH,3/08/2012,64.75
COH,6/08/2012,66.4
COH,7/08/2012,63
COH,8/08/2012,62.51
COH,9/08/2012,62.85
COH,10/08/2012,62.9
COH,13-Aug-12,62.97
COH,14-Aug-12,64.4
COH,15-Aug-12,64.5
COH,16-Aug-12,66
COH,17-Aug-12,65.76
COH,20-Aug-12,67.66
COH,21-Aug-12,68.8
COH,22-Aug-12,67.86
COH,23-Aug-12,68.48
COH,24-Aug-12,66.39
COH,27-Aug-12,66.36
COH,28-Aug-12,67.91
COH,29-Aug-12,68.06
COH,30-Aug-12,68
COH,31-Aug-12,67.4
COH,3/09/2012,67.85
COH,4/09/2012,67.4
COH,5/09/2012,68.43
COH,6/09/2012,68.3
COH,7/09/2012,67.04
COH,10/09/2012,66.49
COH,11/09/2012,68
COH,12/09/2012,67.54
COH,13-Sep-12,67.53
COH,14-Sep-12,67.31
COH,17-Sep-12,66.45
COH,18-Sep-12,67.34
COH,19-Sep-12,68
COH,20-Sep-12,67.57
COH,21-Sep-12,67.57
COH,24-Sep-12,67.17
COH,25-Sep-12,66.58
COH,26-Sep-12,66.55
COH,27-Sep-12,67.5
COH,28-Sep-12,67.15
COH,1/10/2012,68.34
COH,2/10/2012,68.66
COH,3/10/2012,69.25
COH,4/10/2012,68.54
COH,5/10/2012,69.65
COH,8/10/2012,69.6
COH,9/10/2012,70.9
COH,10/10/2012,71.61
COH,11/10/2012,71.74
COH,12/10/2012,71.18
COH,15-Oct-12,70.87
COH,16-Oct-12,71.92
COH,17-Oct-12,72.53
COH,18-Oct-12,72.31
COH,19-Oct-12,72.29
COH,22-Oct-12,71.99
COH,23-Oct-12,71.92
COH,24-Oct-12,71.29
COH,25-Oct-12,71.57
COH,26-Oct-12,71.37
COH,29-Oct-12,71.14
COH,30-Oct-12,71.02
COH,31-Oct-12,71.19
COH,1/11/2012,71.6
COH,2/11/2012,71.71
COH,5/11/2012,72.18
COH,6/11/2012,73.15
COH,7/11/2012,73.31
COH,8/11/2012,74.03
COH,9/11/2012,74.4
COH,12/11/2012,74.77
COH,13-Nov-12,75.74
COH,14-Nov-12,75.25
COH,15-Nov-12,74.14
COH,16-Nov-12,73.85
COH,19-Nov-12,74.5
COH,20-Nov-12,75.01
COH,21-Nov-12,73.7
COH,22-Nov-12,74.86
COH,23-Nov-12,74.7
COH,26-Nov-12,74.16
COH,27-Nov-12,74.94
COH,28-Nov-12,74.9
COH,29-Nov-12,75
COH,30-Nov-12,75.4
